Protein.ID;Average,,pmol,mg,;std
A6NKF1;0,2969818;0.07817938
A6NKF2;0;0
A6NKT7;0;0
A6NLP5;0;0
A6NM11;0;0
A6NMS7;0;0
A6NMY6;0;0
A6NMZ7;0;0
A6NNZ2;14,93465;0.6386994
A6NP11;2,954631;0.51292
A6PVI3;0,2348507;0.03376691
A7E2V4;0,0573959;0.0051833
A7E2Y1;0;0
A7KAX9;0,05409308;0.0386944
A8CG34;0,4359308;0.03609832
A8K0Z3;0,08997217;0.001629901
A8K2U0;0,02433671;0.02336081
A8MRT5;2,226083;0.4133732
A8MSI8;0;0
A8MT19;0;0
A8MTJ3;2,883694;0.3463443
A8MTT3;0,8923998;0.01155453
A8MUH7;1,410821;2.443614
A8MUM7;0;0
A8MUU1;8,81061;2.180715
A8MV81;2,029934;0.1209763
A8MVJ9;0,06804384;0.05908653
A8MVU1;0;0
A8MW92;0,003731367;0.006462915
A8MWD9;5,269641;1.059152
A8MWX3;0,08997217;0.001629901
A8MXV4;0,1630135;0.08344142
A8MYZ6;0;0
A8MZ36;0;0
A9UHW6;0,2398194;0.17430514
A9Z1Z3;3,483742;0.17713604
B0I1T2;0;0
B0YJ81;0,3021524;0.06938074
B1AK53;0,8594974;0.07544478
B2RPK0;15,02469;0.869455
B2RUZ4;2,351802;0.1677704
B4DXR9;2,954631;0.51292
B5MCN3;0;0
B5MD39;1,837135;0.0855241
B5ME19;2,861657;0.06217828
B7ZAP0;0,12923;0.0265109
B7ZAQ6;0,27455781;0.04324131
B7ZBB8;0;0
B9A064;0;0
B9EJG8;0;0
C4AMC7;0,08997217;0.001629901
C9J7I0;0;0
C9JG80;2,226083;0.4133732
C9JI98;0;0
C9JLW8;1,220189;0.07939345
C9JQL5;0,6415742;0.1101533
E5RHQ5;2,226083;0.4133732
E7EU14;0,3375166;0.07950957
E9PAV3;1,081205;0.06564809
E9PIF3;2,226083;0.4133732
E9PJ23;2,226083;0.4133732
E9PQ53;9,311479;1.170666
E9PQR5;2,226083;0.4133732
E9PRG8;0;0
F5H284;87,44818;4.931432
F5H4B4;0;0
F8WCM5;0;0
G3V0H7;0;0
H3BR10;0,8785397;0.3806491
H7BZ55;0;0
O00115;0,192853;0.005761294
O00116;0,3755173;0.03476851
O00124;0,3901425;0.3392505
O00139;0,7639644;0.038568012
O00142;0;0
O00148;0,3669136;0.02094269
O00151;13,18328;0.7675181
O00154;10,455432;0.34636506
O00159;1,867951294;0.081560306
O00160;0;0
O00161;10,039008;0.3264838
O00165;2,6079828;0.23607486
O00168;0,6880545;0.0454804
O00170;1,73568;0.1250364
O00178;0,260663;0.0868182
O00182;0;0
O00186;0,7730996;0.04452256
O00187;0;0
O00189;0,02524729;0.01148431
O00192;0,05332882;0.01651854
O00193;3,311894;0.6008951
O00194;0;0
O00203;1,662427;0.5062959
O00212;0;0
O00214;0,3468254;0.015628338
O00217;1,18357;0.03543791
O00220;0,01928803;0.03340785
O00221;0;0
O00231;14,292476;0.6108896
O00232;11,184282;1.0116874
O00233;3,304038;0.10895205
O00241;0,15378764;0.02838262
O00244;3,685581;0.7968541
O00255;1,1356056;0.07321029
O00257;0,5281316;0.03593358
O00258;0,2286626;0.07395306
O00264;18,28808;2.224034
O00267;0,966107;0.05759615
O00268;0,2792514;0.009289657
O00273;0,1704238;0.02829301
O00291;0,015120378;0.013543592
O00299;29,62231;1.276161
O00303;3,819776;0.9376404
O00308;0,07887216;0.015344976
O00327;0;0
O00330;6,101692;1.1197058
O00337;0;0
O00338;0,06211268;0.02664164
O00339;0;0
O00391;0;0
O00399;0,3546649;0.3911079
O00400;0,8020698;0.1063444
O00401;0,3093912;0.05921081
O00410;18,649581;0.3043593
O00411;0,2843968;0.03417852
O00418;0,1160708;0.01455154
O00422;11,25347;0.3174406
O00423;0,012137492;0.016627414
O00425;9,459002;0.5113394
O00429;1,58039802;0.33172404
O00442;0,505322;0.06399794
O00443;0,1295418;0.02007057
O00453;0;0
O00459;0;0
O00461;1,664865;0.09550732
O00462;0,4801276;0.07839914
O00468;6,5690961;0.31417113
O00469;4,403298;0.1012934
O00471;0,3002641;0.02272557
O00472;0;0
O00476;0;0
O00478;0,004641694;0.00803965
O00479;0,01663336;0.01445287
O00482;0;0
O00483;18,5648;5.074488
O00487;2,204106;0.1565986
O00488;0,2671269;0.03266849
O00499;0;0
O00505;2,510036;0.1044418
O00506;0;0
O00507;0,2524973;0.02500576
O00515;3,588741;0.136051
O00519;0;0
O00522;0;0
O00534;0;0
O00541;3,098972;0.6060318
O00559;0,1319441;0.001308561
O00560;1,10042444;0.25987728
O00562;0;0
O00566;1,417406;0.03596481
O00567;10,09873;0.8041372
O00571;11,366208;0.6240568
O00584;3,07876;0.19810472
O00602;0;0
O00623;0,01507435;0.01429408
O00624;0;0
O00625;0,9980255;0.2398598
O00628;0;0
O00629;0,6814223;0.05739756
O00635;0;0
O00712;0,19217324;0.09102148
O00743;1,8892953;0.6728523
O00748;9,157258;0.4312166
O00750;0;0
O00754;0,4132129;0.01562936
O00757;0;0
O00762;1,9009704;0.175627
O00763;0,18692724;0.0572523
O00764;10,805652;1.4396871
O00767;9,446109;0.2398556
O14493;0,5260809;0.006503894
O14494;0;0
O14495;0,1888817;0.01816336
O14497;0,8577255;0.09564792
O14503;0;0
O14519;0,5702882;0.05253302
O14521;0,2432065;0.1262324
O14523;0;0
O14526;107,32098;3.758996
O14529;0;0
O14530;0,5179056;0.06790258
O14545;0,02302638;0.003040213
O14548;3,471432;0.2788646
O14556;0;0
O14561;6,848751;0.7193396
O14562;2,656613;0.5496659
O14569;0,187771;0.03044533
O14578;0,01903058;0.025978144
O14579;12,964155;4.568049
O14602;0;0
O14613;0,02726598;0.02416686
O14617;2,9525925;0.35205765
O14618;1,520375;0.4453934
O14628;17,727786;3.07752
O14638;0,07990215;0.01152332
O14639;1,459967;0.10736506
O14640;0,009680246;0.016766678
O14641;0,01540894;0.002344912
O14646;0,08031828;0.02214722
O14647;0,674205;0.03827808
O14653;0,947012;0.3509084
O14656;0,3936356;0.2682106
O14657;0,3597639;0.05000035
O14662;1,1153534;0.351947694
O14672;0,7416376;0.09875288
O14678;0;0
O14681;0,2800098;0.1247705
O14683;0;0
O14686;0,02703756;0.0011938332
O14709;0;0
O14715;0,005723529;0.004468299
O14727;0,04020648;0.009117148
O14730;0;0
O14732;0,252653;0.07316038
O14733;0,1210288;0.106368
O14734;1,428539;0.1214456
O14735;7,408338;0.4648022
O14737;7,161201;1.944614
O14744;8,808744;0.2274152
O14745;13,20393;1.251235
O14756;0;0
O14763;0,3681514;0.0525522
O14772;0;0
O14773;3,650328;0.4274832
O14775;0;0
O14776;2,914432;0.13187582
O14777;0,01631086;0.007751639
O14782;0,01191643;0.005033161
O14787;0,2562298;0.02890742
O14791;0,2951457;0.028845528
O14795;0,04139231;0.03586305
O14802;0,2776746;0.01427402
O14810;0;0
O14817;0,01554124;0.01407505
O14818;20,35502;4.6639059
O14828;2,923452;0.11663538
O14832;0,14803938;0.04534954
O14841;0,3480877;0.0154368
O14867;0,01425542;0.02469111
O14874;0,4576712;0.02813676
O14879;0;0
O14880;0,05695538;0.06096432
O14893;2,0076927;0.07030311
O14894;0;0
O14896;0;0
O14907;0,1373425;0.2378843
O14908;2,475142;0.2549752
O14910;1,039521;0.2179288
O14920;0;0
O14925;2,529955;0.3019835
O14929;2,561658;0.07831856
O14933;0;0
O14936;1,9664124;0.25947852
O14939;0,025048719;0.0026965491
O14949;6,4341;1.885544
O14950;6,23913;0.1134483
O14960;0;0
O14964;0,7698278;0.02172708
O14965;0,0516689;0.01607954
O14966;0,20186688;0.012260067
O14967;0,7566376;0.04781011
O14972;0,003376596;0.005848436
O14974;2,3171952;0.6267724
O14975;5,787688;0.1217428
O14976;0,09362638;0.007140287
O14979;10,5736824;0.39267614
O14980;1,402074;0.04972454
O14981;0,07604429;0.01926297
O14983;0;0
O14986;0,16077686;0.005763254
O15013;1,126347;0.1051624
O15014;0,003363407;0.0007953987
O15020;0;0
O15021;0;0
O15027;1,433539;0.061767
O15031;0,6595082;0.04395065
O15037;0;0
O15042;2,890074;0.1756246
O15047;0,129255;0.01198108
O15050;0,009406532;0.008570124
O15056;0,11011734;0.005264442
O15066;0,01191643;0.005033161
O15067;0,6065803;0.01423941
O15079;0;0
O15083;0,003927251;0.003446269
O15084;0,1698118;0.04556044
O15085;0;0
O15091;1,8131368;0.20320924
O15111;0,01090336;0.01433551
O15116;0,2700601;0.03086489
O15117;0;0
O15118;0,740014;0.02447499
O15119;0,012461457;0.010850988
O15120;0;0
O15121;0,01731489;0.003363527
O15126;1,610968;0.15188632
O15127;1,912752;0.1527852
O15143;2,320664;0.1956914
O15144;5,255112;0.07705649
O15145;6,229724;0.3888635
O15155;0,6586652;0.09137797
O15156;0;0
O15160;3,838458;0.2237886
O15162;0;0
O15164;0,9433214;0.14615444
O15173;4,47263;0.3732228
O15182;0,3323476;0.3150893
O15194;0,0836156;0.006977896
O15211;0;0
O15212;6,582202;1.208484
O15213;1,133949;0.00909153
O15217;0,06655645;0.01091565
O15226;0,4645447;0.01384252
O15228;0,2528931;0.04186005
O15229;0,001969828;0.003411843
O15230;1,399149;0.05584227
O15234;0,05573316;0.0106714
O15235;2,544876;1.207524
O15239;0;0
O15243;0;0
O15245;0;0
O15247;0;0
O15254;0,6569118;0.09745296
O15258;1,644496;0.1569704
O15260;60,34272;3.377556
O15265;0;0
O15269;3,235186;0.3691652
O15270;0,4126438;0.01686774
O15294;0,334970123;0.08014797
O15305;3,932276;0.3080164
O15320;6,590676;0.24649758
O15321;1,4267664;0.0648675
O15344;0;0
O15347;4,095694;0.2271655
O15355;2,659498;0.3291751
O15357;0,08361462;0.0231771
O15371;2,118943;0.2183798
O15372;3,979915;0.2855006
O15379;0;0
O15381;0,44624825;0.06760905
O15382;0;0
O15389;0;0
O15391;0,5143884;0.1600769
O15397;0;0
O15400;3,483706;0.3287186
O15405;0,4231792;0.05952948
O15417;0,003367332;0.0012007788
O15427;7,12963;0.1742326
O15428;0,260269;0.05980096
O15431;0,9478495;0.309368
O15438;0,21995575;0.2139544
O15439;0;0
O15446;1,3092534;0.16716236
O15455;0;0
O15460;3,033144;0.2083258
O15484;0;0
O15488;0;0
O15498;1,434956;0.2921432
O15504;1,0102347;0.2560749
O15511;15,907148;1.4720258
O15514;0,4457255;0.05072811
O15516;0;0
O15523;0,438241;0.009000544
O15530;1,6946845;0.10448465
O15533;2,5541912;0.32650456
O15534;0;0
O15541;0,006711252;0.005944742
O15550;0,006030527;0.00651391
O15551;0,5260809;0.006503894
O43143;4,567625;0.1194599
O43148;1,2108196;0.311382
O43149;0,014151177;0.00573888
O43156;0,04274916;0.01675388
O43157;0,1920765;0.03961395
O43159;0,4910272;0.01332737
O43164;0;0
O43166;0,01587937;0.006229946
O43169;0,04539778;0.0180244
O43172;2,672028;0.1056268
O43174;0,4823334;0.835426
O43175;18,31261;0.8651294
O43181;4,881229;0.2813838
O43187;0;0
O43189;0,03041717;0.009808438
O43194;0;0
O43236;0;0
O43237;0,9103835;0.2327298
O43242;5,08827;0.5789996
O43251;3,677712;1.132915
O43252;1,85302;0.06961868
O43257;0,1807777;0.1864893
O43264;1,001676;0.114186
O43272;0;0
O43280;0;0
O43286;0,3638401;0.07236987
O43290;2,142786;0.9406689
O43292;0,4600898;0.0388625
O43293;0;0
O43298;0,01363444;0.01194385
O43299;0,0446613;0.005932053
O43301;0,1030442;0.033369
O43310;0,08146908;0.005185568
O43312;0;0
O43314;0,07226356;0.02837592
O43318;0,2023692;0.04877356
O43324;16,692174;1.517348
O43325;0,1724804;0.01138129
O43347;2,120169;0.2759596
O43353;0;0
O43390;16,0716633;0.49370094
O43395;1,578418;0.118302
O43396;3,150817;0.1846187
O43399;59,0455344;4.3011286
O43402;0,5563362;0.19771366
O43414;0;0
O43422;0,02291826;0.019847818
O43423;16,58618;0.9895292
O43426;0;0
O43427;0,00586226;0.010153732
O43432;0,08098773;0.0022990719
O43439;0,08098773;0.0022990719
O43447;1,41242;0.2235596
O43451;0;0
O43464;6,647636;0.25970196
O43488;2,423504;0.3475164
O43490;0,12856032;0.020465578
O43491;4,8213708;0.298407
O43493;23,96859;2.465823
O43504;1,899892;0.3776532
O43505;2,535818;0.3523658
O43511;0,4627394;0.04403651
O43513;0;0
O43516;0;0
O43520;0;0
O43521;0;0
O43548;0;0
O43566;0;0
O43567;0,06393838;0.05622777
O43572;0,02826924;0.004767556
O43581;0;0
O43583;1,669729;0.3504722
O43586;0;0
O43592;0,6622699;0.04029627
O43598;1,1950816;0.3524022
O43615;6,790795;0.7184645
O43617;1,179072;0.4164853
O43633;0;0
O43657;0,1720136;0.02186954
O43660;2,244786;0.0215516
O43663;0,4213863;0.11500167
O43665;0;0
O43670;3,8208968;1.032226
O43674;8,069708;1.0864948
O43676;8,528409;0.5263857
O43677;4,09581;0.5576139
O43678;63,80298;2.021046
O43681;1,260895;0.07774837
O43684;5,589804;0.651482
O43687;0,016824118;0.014574108
O43704;0;0
O43707;21,87096;1.478953
O43708;1,152074;0.06432008
O43709;0,4904164;0.03993766
O43715;0,9922303;0.1124752
O43716;0,4777978;0.08826781
O43719;0,3958035;0.07877068
O43731;0,7655974;0.12537116
O43741;0,04337106;0.007697915
O43747;1,3246392;0.1349484
O43752;0,5244183;0.1845826
O43760;5,79475;0.3703612
O43765;2,547715;0.4739175
O43766;0;0
O43768;29,593098;5.1528681
O43772;2,920981;0.4422253
O43776;3,715346;0.3528403
O43791;0;0
O43795;2,996992;0.2581561
O43805;0;0
O43808;0;0
O43809;5,87553;0.1137647
O43813;1,053948;0.4348875
O43815;0,416368;0.10683054
O43818;1,710286;0.06505873
O43819;2,142009;0.2041726
O43822;0;0
O43823;0,5493562;0.04497985
O43824;0,6631615;0.03481718
O43826;4,675198;0.3872494
O43829;0;0
O43837;16,360062;0.7658637
O43847;0,4136174;0.04785932
O43852;283,053515;8.0458851
O43861;0,02203222;0.017925926
O43865;1,0888626;0.13262966
O43895;0;0
O43896;0,009585279;0.0004576805
O43903;0,8133647;0.5811598
O43913;0,10712578;0.004761384
O43920;4,074367;1.751976
O43924;0;0
O43929;1,0601694;0.05388273
O43930;0,1591854;0.0426556
O43933;0,003404605;0.00297221
O60216;0,6487003;0.05085886
O60218;22,28737;1.876632
O60220;5,123172;2.398819
O60229;0;0
O60231;0,2508453;0.02869809
O60232;0;0
O60234;0;0
O60237;0;0
O60238;0;0
O60240;0;0
O60243;0,11321342;0.01903765
O60244;0,02259659;0.001724253
O60256;2,40498;0.20768871
O60262;2,942653;0.2222878
O60264;0,9094463;0.07472247
O60271;1,1891656;0.06376604
O60282;0;0
O60287;0,113571;0.02895399
O60291;0,31007756;0.020707092
O60293;0;0
O60294;0,006515592;0.01128534
O60299;0,012842836;0.011547008
O60306;0,5872558;0.03655075
O60307;0;0
O60309;0;0
O60313;2,386198;0.2431782
O60318;0,02476098;0.008243306
O60331;0,32155372;0.011526508
O60333;0,5027284;0.028344212
O60337;0;0
O60341;1,1028292;0.1725311
O60343;2,590883;0.2587451
O60344;0;0
O60356;0;0
O60361;0;0
O60427;0,4849285;0.03862378
O60437;0,01218785;0.002939573
O60443;0,3289053;0.03063264
O60447;0;0
O60449;0,021404376;0.019633758
O60476;0,05498967;0.02144547
O60487;0,1507997;0.02079044
O60488;43,27486;2.701726
O60493;12,772636;1.1287244
O60496;0;0
O60499;0,2619714;0.12092198
O60502;0,238506;0.07497504
O60503;0,01823218;0.01146214
O60504;0,2814735;0.02427336
O60506;14,632974;0.532540345
O60507;0,08506983;0.04169441
O60508;0,4762263;0.110556
O60513;0,1948341;0.07474685
O60518;0,0665908;0.06386182
O60524;1,1087125;0.027681965
O60547;7,524213;0.5330868
O60551;0,01907597;0.001159913
O60563;0,02749381;0.002539903
O60568;1,148289;0.2080433
O60573;0,4899476;0.003950664
O60583;0,04326281;0.003493995
O60603;0;0
O60610;1,3646229;0.12801072
O60613;0,7770198;0.14566456
O60637;1,3999107;0.22790922
O60641;3,996404;0.5052492
O60645;0,4057782;0.0006322161
O60656;0;0
O60658;0,026754126;0.02324232
O60663;1,4474406;0.3970887
O60664;21,81646;0.8233842
O60669;0;0
O60671;0,06678794;0.08360606
O60678;0,06798224;0.03081228
O60683;0;0
O60684;0,6466616;0.02059
O60701;160,98147;5.638494
O60704;0;0
O60706;0;0
O60711;0;0
O60716;53,552576;10.1631808
O60725;0,6902892;0.2286574
O60739;0,8822101;0.2851861
O60749;2,421408;0.1929289
O60762;3,337584;0.1671252
O60763;3,84588;0.111764
O60765;2,954631;0.51292
O60779;0,07429642;0.03065877
O60783;2,350645;0.2997029
O60784;2,901586;0.09092892
O60812;0,08854276;0.01782353
O60814;0;0
O60825;1,9792872;0.2094412
O60826;0,3106344;0.02790809
O60828;12,615966;0.974322
O60830;4,077154;0.2550618
O60831;0;0
O60832;13,337324;0.624959
O60841;2,284575;0.1278808
O60858;0;0
O60869;4,815808;0.7974208
O60870;0,1223872;0.03829634
O60879;0,011674023;0.020220003
O60884;4,285947;0.1410141
O60885;0,7360268;0.295666
O60888;16,473654;0.9936231
O60907;0;0
O60909;0,10580403;0.05712636
O60921;0,03110439;0.006418048
O60925;7,327267;0.6319566
O60927;0;0
O60930;0,07314335;0.008264989
O60934;0,276358;0.01411921
O60936;0;0
O60941;2,3861901;0.16209662
O60942;0,4086396;0.35463892
O75015;0;0
O75023;0;0
O75027;0,5349064;0.05115864
O75044;0,1970893;0.1369196
O75051;0,07900021;0.06980236
O75052;0,268245;0.04345626
O75063;0,1158318;0.03666635
O75071;0;0
O75081;0;0
O75083;10,7447;0.7526912
O75106;0;0
O75110;0;0
O75113;0,02736076;0.0009700133
O75116;1,005056;0.07573546
O75121;0;0
O75122;0,3310788;0.0233735
O75127;0,5473981;0.07884926
O75128;0,07091364;0.08867432
O75131;1,140375;0.1201814
O75140;0;0
O75143;0;0
O75144;0;0
O75146;0,4080852;0.01981912
O75147;0,26662155;0.03267786
O75150;0,929862;0.12224883
O75151;0,03835518;0.02369364
O75152;0,8388021;0.08448951
O75153;0,00671442;0.005849372
O75154;0;0
O75155;0;0
O75157;0,02508452;0.04344764
O75164;0,01396655;0.00723579
O75165;0,1497581;0.00902293
O75170;1,6216638;0.13978368
O75175;0,3274398;0.08913033
O75177;0,25730575;0.2256859
O75179;0,8237475;0.22471645
O75182;0,09164043;0.011828508
O75190;0,8631724;0.08882024
O75191;1,25203;0.05304073
O75192;0;0
O75197;0,00333484;0.000550471
O75204;0;0
O75208;3,63858;0.4362494
O75223;6,988828;1.569332
O75251;2,757841;0.06334332
O75264;0;0
O75298;0,28110684;0.18353094
O75306;6,553198;0.9083238
O75312;0,3757848;0.1245737
O75317;0;0
O75319;0,704432;0.1465263
O75323;4,489524;0.4273296
O75330;1,0007228;0.11262024
O75340;1,367314;0.4432791
O75342;0;0
O75346;2,954631;0.51292
O75347;16,97047;0.3048803
O75348;3,584042;0.2867903
O75351;0,3432685;0.05989605
O75352;2,734461;0.3708633
O75354;1,503761;0.219388
O75356;1,218696;0.1973873
O75362;0,1631274;0.006806229
O75367;44,48642;4.538638
O75368;0,1922619;0.1185898
O75369;9,34593876;0.391594964
O75376;0,07212342;0.001440708
O75379;0;0
O75380;1,153374;1.032812
O75381;2,557124;0.4123338
O75382;0;0
O75387;0,06247096;0.008917404
O75390;18,10946;1.131991
O75391;0,4245676;0.02932171
O75394;3,337943;0.4885998
O75396;16,06946;1.186277
O75400;1,73352739;0.168439095
O75410;4,011112;1.251425
O75414;1,1022248;0.2040944
O75420;0,000360825;0.0006249676
O75427;0,2640123;0.01495308
O75431;2,196723;0.3938607
O75436;4,330258;0.19357588
O75438;15,438588;1.2753558
O75439;5,114175;0.1993481
O75448;0,06629144;0.013038118
O75449;0,0743463;0.018692266
O75452;0;0
O75460;0;0
O75461;0,03461582;0.007023914
O75462;0,1002671;0.03772082
O75469;0;0
O75473;0,00674585;0.002468238
O75475;4,14552;0.5185896
O75477;4,891271;0.2462622
O75487;1,068732;0.05610174
O75489;10,51427;0.6991686
O75494;12,627744;1.064862
O75503;0,1900591;0.006167062
O75506;8,728671;1.172043
O75521;16,109984;0.0916469
O75525;1,975359;0.6651162
O75526;18,42596;1.192373
O75528;0,2724852;0.14459858
O75529;0,09115902;0.017792844
O75530;1,0222113;0.020672646
O75531;18,04105;0.8640184
O75533;19,124682;0.7873644
O75534;2,436816;0.14951706
O75554;0,03111414;0.003975213
O75556;0;0
O75558;0;0
O75563;0;0
O75569;2,74152;0.8005452
O75570;0,03708061;0.009555194
O75581;0,00333484;0.000550471
O75582;0;0
O75586;0,04946406;0.04362268
O75592;0,05179544;0.0753933
O75594;0;0
O75600;1,732673;0.08892582
O75607;4,768892;0.2379152
O75608;5,855604;0.6463838
O75616;4,609126;0.11484822
O75618;0;0
O75629;0,2083556;0.03606572
O75636;0;0
O75643;7,66581;0.2961922
O75648;2,018144;0.22186075
O75663;1,5224064;0.5810448
O75665;0,00971154;0.00854187
O75674;0,1328654;0.1812298
O75683;1,328331;0.0847401
O75688;1,402501;0.13842275
O75691;0,5452712;0.02339225
O75694;2,569056;0.16034644
O75695;1,451334;0.2067209
O75716;0;0
O75717;0,3033363;0.08384876
O75718;1,465892;0.2671972
O75746;0,07512128;0.02340566
O75747;0;0
O75751;0,2112228;0.02628841
O75764;1,617995;0.2690317
O75781;0,568535;0.15082854
O75787;1,092775;0.163453
O75792;0,07916372;0.05542144
O75794;0,4155242;0.1075958
O75795;0;0
O75808;0;0
O75817;0;0
O75818;0,5409548;0.02968442
O75821;4,294348;0.6302936
O75822;6,526131;0.299832
O75828;4,420086;0.4128143
O75830;3,367627;0.0963914
O75832;3,518492;0.07043112
O75843;0,07278857;0.02290299
O75844;4,404706;0.6679174
O75874;57,91584;4.194078
O75879;0,5416655;0.2166527
O75880;2,062918;0.3760138
O75881;0;0
O75882;0,27848691;0.08414313
O75884;3,031472;0.269981
O75886;0,269681;0.16133232
O75891;0,9649604;0.2647258
O75896;0,137314;0.07332029
O75907;2,452185;0.2480926
O75908;0,2723506;0.01312372
O75909;1,375762;0.7053036
O75911;1,3740582;0.269107
O75915;2,867538;0.8411519
O75923;0,006436308;0.011148012
O75925;0,1071019;0.006945478
O75928;0,3213057;0.020836434
O75934;2,150981;0.5087552
O75935;2,1366366;0.6106194
O75936;0;0
O75937;4,348222;0.3534166
O75940;1,898728;0.1018777
O75943;0;0
O75947;93,2616;3.60028
O75954;0,4212761;0.04653062
O75955;3,376474;0.03841816
O75956;0,2851441;0.02626651
O75962;0,01495047;0.009807425
O75964;59,81467;2.045272
O75970;0,05312154;0.007782489
O75976;2,657564;0.10520742
O75995;0;0
O76003;3,972874;0.2340737
O76013;0,04631814;0.04056572
O76014;3,24517;0.2740359
O76021;15,82341;0.5372786
O76024;3,371726;0.1715624
O76027;0;0
O76031;3,736177;0.3150405
O76038;0;0
O76039;0;0
O76041;12,02797;0.3933009
O76054;0,03522375;0.03189189
O76062;1,4513126;0.5671318
O76070;0;0
O76071;0,1352958;0.04141357
O76074;0;0
O76080;0;0
O76082;0,06687966;0.006422106
O76094;6,932592;0.4689766
O76095;0,0283684;0.04913552
O94760;7,433371;0.8030308
O94762;0;0
O94763;0,14301708;0.01374873
O94766;0,2832418;0.2281689
O94768;0;0
O94776;0,9858189;0.1164232
O94788;6,61119;0.23461074
O94804;0;0
O94806;0,01076254;0.00156672
O94808;0;0
O94811;0;0
O94819;0;0
O94822;0,17741436;0.06316998
O94826;4,283956;0.05511067
O94829;0;0
O94830;0;0
O94832;0,6953882;0.09780664
O94842;0,2115896;0.02976474
O94851;0;0
O94855;0,5741486;0.0681585
O94864;0,2235766;0.11589684
O94868;0,011329218;0.019622781
O94874;6,70795183;0.38928797
O94875;0;0
O94876;0,04161597;0.002161319
O94880;0,05069318;0.01899857
O94885;0,001766592;0.003059827
O94886;0,02532004;0.004722733
O94887;0,15091432;0.04728516
O94888;0,3499208;0.02961078
O94901;2,5075848;0.32384984
O94903;2,29749;1.005606
O94905;8,09026;0.2378466
O94906;5,305582;0.3111092
O94910;0;0
O94911;0,005234854;0.004574234
O94913;0,1081759;0.008918361
O94915;0,001598565;2.718811e-05
O94916;0,04580704;0.006320524
O94919;0,0192757;0.01699914
O94921;0;0
O94923;0,04060257;0.01415623
O94925;14,8498987;0.91493392
O94927;0,04969948;0.00136046
O94929;0;0
O94952;0;0
O94953;0,0114215;0.002007892
O94956;0,0334877;0.003679898
O94966;0,1671104;0.0197909
O94973;0,9356285;0.1202062
O94979;34,78941;1.9992555
O94988;0;0
O94992;0,4837552;0.00600767
O95049;0,15281883;0.05246016
O95057;8,491985;0.05013015
O95059;0,3654775;0.04184521
O95070;3,2281;0.1651551
O95071;0,03926172;0.008668316
O95081;1,268223;0.09008188
O95104;0,2723156;0.04523066
O95139;6,899372;0.15503774
O95140;0,8889938;0.08749424
O95147;0;0
O95149;0,1456065;0.02182819
O95154;0,02465517;0.001425388
O95155;1,4698304;0.0376622
O95159;0,1844452;0.005872493
O95163;1,223159;0.02191528
O95164;0;0
O95167;7,229835;0.5275885
O95168;13,849218;2.686606
O95169;1,471876;0.0410113
O95178;1,633826;0.07956974
O95182;5,105394;0.4719319
O95183;0;0
O95197;20,180352;4.3876686
O95199;0;0
