"Protein"	"NCI60_MCF7_iBAQ"
"IPI00001661;IPI00787306;IPI00747309;IPI00925791;IPI00926548;IPI00925317;IPI00927389;IPI00925570"	4801400
"IPI00001663;IPI00220544"	162270
"IPI00001676;IPI00290543"	520890
"IPI00001690"	16707
"IPI00001699;IPI00221360;IPI00221362"	4585800
"IPI00001710;IPI00607717"	438510
"IPI00001712;IPI00645669;IPI00654616;IPI00937961;IPI00747120"	0
"IPI00619930;IPI00001716;IPI00795171"	1206200
"IPI00001722;IPI00908557"	125470
"IPI00001723"	0
"IPI00658128;IPI00001727;IPI00942329;IPI00945683;IPI00946838;IPI00946045;IPI00945083;IPI00945905"	0
"IPI00001730;IPI00909262;IPI00908778;IPI00910876"	27635
"IPI00001734;IPI00941072;IPI00930609;IPI00219478;IPI00940110;IPI00953898"	526000
"IPI00001735;IPI00923596;IPI00952937;IPI00923436;IPI00923531;IPI00952657;IPI00939494;IPI00878336;IPI00952895;IPI00878709;IPI00878871;IPI00879250;IPI00879943"	30240
"IPI00001738"	1038300
"IPI00922511;IPI00001754;IPI00940512;IPI00922549;IPI00069985"	1356000
"IPI00001755;IPI00911077"	0
"IPI00001757;IPI00216659;IPI00383083"	6110700
"IPI00001762;IPI00446793"	0
"IPI00217555;IPI00001796;IPI00375404"	0
"IPI00001871"	0
"IPI00001881;IPI00916501;IPI00916701"	0
"IPI00001883;IPI00873809;IPI00744897"	0
"IPI00001885;IPI00893294;IPI00893028;IPI00893569;IPI00893702;IPI00893439"	0
"IPI00001914;IPI00218686;IPI00942796;IPI00908678;IPI00917854;IPI00917595"	0
"IPI00001922"	53767
"IPI00001952"	6414.7
"IPI00001954;IPI00024561;IPI00944447;IPI00944495;IPI00254431"	0
"IPI00001960;IPI00903323"	890940
"IPI00001985;IPI00333553;IPI00793483"	165510
"IPI00001999;IPI00795242"	0
"IPI00002070"	0
"IPI00002134;IPI00909766;IPI00607835;IPI00607806"	1465800
"IPI00002135;IPI00908659;IPI00946746;IPI00947073;IPI00383480;IPI00946575"	0
"IPI00002147;IPI00647823;IPI00903151"	0
"IPI00002149"	730240
"IPI00002150;IPI00514624;IPI00922864;IPI00515080;IPI00640132;IPI00643929"	26741
"IPI00002186;IPI00792366"	16840
"IPI00002188"	0
"IPI00002203;IPI00786906;IPI00220152;IPI00068254;IPI00909058"	2263300
"IPI00002208;IPI00290975;IPI00640795"	0
"IPI00909904;IPI00002212;IPI00640104;IPI00552426;IPI00641189"	827670
"IPI00002214;IPI00789457;IPI00873236"	6752900
"IPI00002225"	0
"IPI00002230;IPI00925612;IPI00924788;IPI00790972;IPI00927596"	6794.7
"IPI00002232;IPI00654673"	23367
"IPI00002236;IPI00334005"	0
"IPI00002240"	0
"IPI00855794;IPI00002243;IPI00339373;IPI00877887"	0
"IPI00002245;IPI00795694;IPI00791989"	836190
"IPI00002252;IPI00942678;IPI00744995;IPI00217167"	0
"IPI00002253"	0
"IPI00002255"	530920
"IPI00002270"	3448700
"IPI00002311;IPI00942040;IPI00916931;IPI00917308"	0
"IPI00002320"	0
"IPI00002324;IPI00921893;IPI00845294;IPI00845444;IPI00952989"	0
"IPI00002330;IPI00791885"	48004
"IPI00002335"	228990
"IPI00002336"	74474
"IPI00002349;IPI00828018"	19264
"IPI00002372;IPI00908804;IPI00185503;IPI00884932"	268300
"IPI00830014;IPI00002392;IPI00877155;IPI00743001;IPI00296793;IPI00877164;IPI00647928;IPI00644949;IPI00645409"	938390
"IPI00002406;IPI00554618"	1266000
"IPI00002408;IPI00448515;IPI00924947"	120180
"IPI00641117;IPI00002411;IPI00927428;IPI00852720;IPI00852757;IPI00852631;IPI00641409;IPI00645990;IPI00644803;IPI00645282"	261050
"IPI00514424;IPI00002412;IPI00514248;IPI00908718;IPI00514996"	7718100
"IPI00002424"	0
"IPI00002432;IPI00398585"	276640
"IPI00002441;IPI00893400;IPI00892674"	140510
"IPI00002458;IPI00795704;IPI00792150;IPI00794111;IPI00797624"	0
"IPI00002459"	213800
"IPI00002460;IPI00021771;IPI00953297"	2114600
"IPI00002468;IPI00640446;IPI00872484"	0
"IPI00002478;IPI00216762;IPI00216760;IPI00216758;IPI00514800"	23803
"IPI00002483"	0
"IPI00642645;IPI00002487;IPI00646036"	0
"IPI00454951;IPI00514261;IPI00334908;IPI00186452;IPI00064591;IPI00514576;IPI00002491;IPI00654848;IPI00454950;IPI00646306"	0
"IPI00647389;IPI00027082;IPI00002495;IPI00397365"	0
"IPI00002496;IPI00030920"	0
"IPI00002506;IPI00909046;IPI00909749"	1955100
"IPI00002519;IPI00220668;IPI00793862;IPI00220669"	1501200
"IPI00002520;IPI00789370;IPI00795816;IPI00794572;IPI00748411;IPI00909681;IPI00908824;IPI00794549;IPI00794060;IPI00797816;IPI00797146;IPI00795324;IPI00940666;IPI00386540;IPI00797074"	27703000
"IPI00456008;IPI00002521;IPI00794158"	230090
"IPI00002523;IPI00181795;IPI00410254;IPI00640577;IPI00513967"	0
"IPI00002525"	2813300
"IPI00002526;IPI00640268"	0
"IPI00002535"	8566700
"IPI00002538;IPI00478389;IPI00216647;IPI00216646;IPI00867720;IPI00936882;IPI00937072;IPI00749509;IPI00216877"	0
"IPI00002549;IPI00375832;IPI00739363"	0
"IPI00002551;IPI00419201"	29708
"IPI00002552"	1811300
"IPI00002557;IPI00877609"	1293400
"IPI00002560"	0
"IPI00002564;IPI00911037;IPI00880055;IPI00879881"	223910
"IPI00002569"	0
"IPI00002570"	1668100
"IPI00002580"	0
"IPI00641770;IPI00939510;IPI00002591;IPI00165547;IPI00852779;IPI00917885"	100480
"IPI00002606;IPI00879729"	111440
"IPI00002618"	0
"IPI00002624;IPI00871903;IPI00382756"	0
"IPI00853263;IPI00917072;IPI00220774;IPI00221207;IPI00002644;IPI00009415;IPI00719505;IPI00853529;IPI00916620;IPI00853329;IPI00916376;IPI00853111;IPI00916252"	0
"IPI00170862;IPI00002646"	126200
"IPI00002657;IPI00219004"	0
"IPI00002666;IPI00335926"	0
"IPI00002707;IPI00219816;IPI00923553;IPI00923524"	0
"IPI00002714;IPI00940990;IPI00910436;IPI00383937;IPI00386812"	0
"IPI00002745"	0
"IPI00219418;IPI00002773;IPI00646814;IPI00910959"	0
"IPI00002790;IPI00555723;IPI00382747"	1465800
"IPI00002802"	0
"IPI00002803"	0
"IPI00002804;IPI00514041;IPI00005990;IPI00514557;IPI00745366"	138960
"IPI00002824;IPI00792951;IPI00793531;IPI00791139"	0
"IPI00002853;IPI00556528"	1266100
"IPI00002857;IPI00221141;IPI00221143;IPI00221142;IPI00945296;IPI00946109;IPI00945931"	0
"IPI00002879"	33054
"IPI00002881;IPI00384353;IPI00910613"	0
"IPI00002884;IPI00217869;IPI00953544;IPI00789060"	0
"IPI00002894;IPI00655631;IPI00556021"	1400300
"IPI00002895;IPI00792286;IPI00789935"	5051900
"IPI00002899;IPI00792803"	0
"IPI00002902"	0
"IPI00002922;IPI00922336;IPI00640917;IPI00218132;IPI00020873;IPI00925198;IPI00927546;IPI00927137;IPI00954226;IPI00792325;IPI00926545;IPI00926848;IPI00926594;IPI00927791;IPI00924550;IPI00924818;IPI00926628"	0
"IPI00002926;IPI00789800"	0
"IPI00002948"	0
"IPI00002957"	0
"IPI00002966;IPI00031022"	19202000
"IPI00002968"	0
"IPI00002970"	0
"IPI00796568;IPI00002975;IPI00797846;IPI00791704"	0
"IPI00002984;IPI00793281;IPI00641846;IPI00640209"	0
"IPI00003004;IPI00795087"	4064300
"IPI00741970;IPI00003016;IPI00909427;IPI00888525"	245540
"IPI00003021;IPI00640401;IPI00647102;IPI00908591;IPI00375339;IPI00911028;IPI00909069"	0
"IPI00003027"	0
"IPI00003031;IPI00551022;IPI00442223"	30423000
"IPI00003035;IPI00794726"	0
"IPI00477494;IPI00003084"	146730
"IPI00003096"	0
"IPI00003128;IPI00894468;IPI00657713;IPI00852618;IPI00853118;IPI00657829;IPI00657802;IPI00852922;IPI00852962;IPI00927141;IPI00852761"	0
"IPI00018318;IPI00003131;IPI00924817;IPI00432010;IPI00925275;IPI00927713;IPI00925211;IPI00925379;IPI00926046;IPI00924990;IPI00791072;IPI00925819;IPI00789713"	0
"IPI00003168;IPI00796213;IPI00942171;IPI00789576;IPI00795423;IPI00788900;IPI00789022;IPI00798249;IPI00445190"	330470
"IPI00003217;IPI00514549;IPI00908513"	1668900
"IPI00003269"	52797000
"IPI00003293"	0
"IPI00003309;IPI00927876;IPI00927044;IPI00924545;IPI00927637;IPI00790361;IPI00791273;IPI00791019"	1883800
"IPI00003311"	0
"IPI00003318"	0
"IPI00003320"	0
"IPI00003326;IPI00908403;IPI00847722"	2845300
"IPI00003327"	3192500
"IPI00003328;IPI00220244;IPI00018593"	177190
"IPI00003348;IPI00790302;IPI00925530;IPI00790896;IPI00797969;IPI00924758"	17033000
"IPI00645849;IPI00003351;IPI00006969;IPI00909747"	0
"IPI00003362"	57967000
"IPI00003363;IPI00795211;IPI00220698"	0
"IPI00003369;IPI00925873;IPI00794842"	0
"IPI00003373;IPI00743585;IPI00479078;IPI00939840"	147600
"IPI00003377;IPI00916448;IPI00744364;IPI00939530;IPI00917346;IPI00215907;IPI00943308"	1081300
"IPI00003386"	2864600
"IPI00003389;IPI00908629;IPI00640352"	1167900
"IPI00003394;IPI00009597;IPI00219360;IPI00009598"	0
"IPI00003406;IPI00794221;IPI00295624"	5103900
"IPI00003411"	0
"IPI00003419;IPI00917641"	0
"IPI00003420;IPI00916186;IPI00915767;IPI00903288;IPI00552652;IPI00640877"	0
"IPI00003426"	0
"IPI00165068;IPI00003428;IPI00219917"	0
"IPI00003438"	8344900
"IPI00003443;IPI00217475;IPI00217474;IPI00384836;IPI00940508"	0
"IPI00003448"	0
"IPI00003451"	0
"IPI00796949;IPI00003466;IPI00797601"	0
"IPI00003479;IPI00874012"	0
"IPI00003482;IPI00789705"	12918000
"IPI00003495"	0
"IPI00003505;IPI00953289;IPI00847729"	248730
"IPI00003515"	198550
"IPI00003519;IPI00917777;IPI00903143"	1629900
"IPI00003527;IPI00794755"	28321000
"IPI00003531"	0
"IPI00003562"	0
"IPI00003565;IPI00027699;IPI00552190;IPI00183104;IPI00647839;IPI00552808"	3463900
"IPI00003588;IPI00913838"	1682700
"IPI00003590;IPI00465016;IPI00872013;IPI00015916"	0
"IPI00003606;IPI00921982;IPI00374140;IPI00922204"	0
"IPI00003627;IPI00216622;IPI00792088;IPI00007776;IPI00944907;IPI00945240;IPI00790197;IPI00793214"	1019600
"IPI00022887;IPI00003635;IPI00953445;IPI00916582;IPI00916999;IPI00916451"	8423600
"IPI00003647;IPI00107483;IPI00654688"	0
"IPI00003648;IPI00218887;IPI00218888"	192500
"IPI00003704;IPI00027838;IPI00940890;IPI00908491"	3446300
"IPI00003739;IPI00012192;IPI00641167"	54898
"IPI00003765;IPI00795461;IPI00927246;IPI00927473;IPI00925105;IPI00927915"	0
"IPI00003766"	809110
"IPI00003768;IPI00554461;IPI00878536;IPI00854683;IPI00879039;IPI00879274;IPI00445559"	352580
"IPI00003783;IPI00795187"	0
"IPI00003802"	516670
"IPI00003807;IPI00909518"	163400
"IPI00166392;IPI00003813;IPI00942016"	0
"IPI00003814;IPI00219569;IPI00425919"	0
"IPI00003815;IPI00794402;IPI00796541;IPI00793767;IPI00797560;IPI00797924;IPI00791180"	29493000
"IPI00003817;IPI00792758;IPI00792537;IPI00791712"	0
"IPI00003818;IPI00651624;IPI00916732;IPI00915775"	3367900
"IPI00217324;IPI00003824;IPI00878225;IPI00910138"	79477
"IPI00003831;IPI00219258"	68303
"IPI00003833"	24395000
"IPI00003842;IPI00472094;IPI00293579"	0
"IPI00003843"	0
"IPI00003848;IPI00645574"	0
"IPI00003856;IPI00719806;IPI00853433"	1543900
"IPI00003861"	0
"IPI00003865;IPI00037070;IPI00939595;IPI00910870;IPI00880019;IPI00877807;IPI00844513"	147350000
"IPI00003869;IPI00794732"	0
"IPI00003870"	3537300
"IPI00003881"	28319000
"IPI00003894"	0
"IPI00003909;IPI00922751;IPI00152505;IPI00607720;IPI00816836;IPI00555680"	0
"IPI00003918;IPI00795303;IPI00908662;IPI00878133;IPI00908376;IPI00793341;IPI00794736;IPI00794087;IPI00792159;IPI00953651"	0
"IPI00003919;IPI00954591;IPI00892934;IPI00893489"	0
"IPI00003921;IPI00218697;IPI00218700;IPI00791144;IPI00739613;IPI00218698;IPI00218699;IPI00553103;IPI00218701;IPI00877070"	0
"IPI00003923;IPI00398067;IPI00947553;IPI00913856;IPI00913888;IPI00914059;IPI00945224;IPI00945051;IPI00945920"	1877900
"IPI00003925;IPI00549885;IPI00946404;IPI00798351;IPI00947129;IPI00947319;IPI00555722"	218840
"IPI00003926;IPI00797927"	0
"IPI00003927"	1903100
"IPI00003933;IPI00745553;IPI00909928"	782510
"IPI00003935;IPI00152785;IPI00220403;IPI00515061;IPI00166293;IPI00454695;IPI00746251"	782590
"IPI00003944;IPI00644810"	0
"IPI00003949;IPI00874051;IPI00796342;IPI00376844;IPI00796917"	29625000
"IPI00221012;IPI00003964;IPI00946017"	79175
"IPI00003965;IPI00646721;IPI00922910"	3022100
"IPI00003966"	0
"IPI00003968;IPI00797261;IPI00792728;IPI00797098"	757610
"IPI00003970;IPI00922516;IPI00747874"	0
"IPI00003971;IPI00219812;IPI00219813;IPI00794113"	1177500
"IPI00003983;IPI00885119"	0
"IPI00003985;IPI00924626;IPI00924601;IPI00927504;IPI00927724;IPI00925074;IPI00926676;IPI00925726"	99582
"IPI00004047;IPI00953659;IPI00922132"	34814
"IPI00218442;IPI00303760;IPI00004092;IPI00218440;IPI00748794;IPI00478023;IPI00871568"	189330
"IPI00004233;IPI00413173;IPI00844453"	98793
"IPI00216725;IPI00004247;IPI00938084;IPI00446678"	0
"IPI00004273;IPI00925670;IPI00924634;IPI00926163"	4281600
"IPI00004290;IPI00607869"	233670
"IPI00004301;IPI00384620;IPI00908645"	0
"IPI00004307;IPI00946356;IPI00947513;IPI00947332"	0
"IPI00004308;IPI00219764"	0
"IPI00004310;IPI00643788"	179950
"IPI00004312;IPI00219076;IPI00909389"	0
"IPI00004317"	0
"IPI00004324;IPI00640089;IPI00647089"	4026700
"IPI00004350;IPI00401787;IPI00872252"	505400
"IPI00004353;IPI00793036;IPI00795283;IPI00793076"	331210
"IPI00004358;IPI00789185"	1266600
"IPI00004363"	0
"IPI00004367;IPI00888981"	0
"IPI00004389;IPI00793078"	0
"IPI00004392;IPI00759578;IPI00759462;IPI00396056;IPI00915321"	1299000
"IPI00004397;IPI00927371;IPI00444204;IPI00926453;IPI00925885;IPI00925636"	7047600
"IPI00009240;IPI00004401"	0
"IPI00004406;IPI00910040;IPI00926240;IPI00925858;IPI00926459;IPI00924850"	0
"IPI00004408;IPI00220754"	0
"IPI00004416;IPI00647029"	0
"IPI00004436;IPI00794259;IPI00795354"	2613400
"IPI00014890;IPI00004437;IPI00640827"	0
"IPI00297475;IPI00004454"	39932
"IPI00004461;IPI00221317;IPI00221320;IPI00953397;IPI00221318;IPI00221319"	0
"IPI00004472;IPI00397590;IPI00397592;IPI00397591;IPI00398442;IPI00953510"	113180
"IPI00004477;IPI00940492;IPI00942195"	0
"IPI00004488;IPI00942404"	1305900
"IPI00004489"	0
"IPI00004497;IPI00472302;IPI00332355;IPI00426447;IPI00916237;IPI00742062;IPI00425739;IPI00896389;IPI00743551"	0
"IPI00909545;IPI00004504"	0
"IPI00004506"	0
"IPI00922498;IPI00645153;IPI00004511;IPI00216306;IPI00641684;IPI00639799;IPI00921908;IPI00478966;IPI00384559;IPI00844528;IPI00442255"	34408
"IPI00304660;IPI00004523"	0
"IPI00004524;IPI00925681;IPI00925439;IPI00926799;IPI00927040;IPI00926104;IPI00925872"	1581800
"IPI00004533;IPI00909987"	0
"IPI00004534"	2363800
"IPI00004560;IPI00217247;IPI00644293;IPI00217249;IPI00472852"	0
"IPI00004563"	0
"IPI00004567;IPI00909654;IPI00643634;IPI00219090"	0
"IPI00004573"	0
"IPI00004655;IPI00001076;IPI00930492;IPI00937544;IPI00935165;IPI00941871;IPI00942046;IPI00807669"	0
"IPI00796379;IPI00004656;IPI00930068;IPI00941461"	1182500
"IPI00004668;IPI00215828;IPI00216701"	92244
"IPI00004669;IPI00922793;IPI00921824"	0
"IPI00004670;IPI00915831;IPI00456483;IPI00953363;IPI00916473"	156910
"IPI00004712;IPI00924587;IPI00925779;IPI00926781;IPI00925242;IPI00925054"	142260
"IPI00004758;IPI00386330"	0
"IPI00004795"	5069500
"IPI00004815;IPI00892967;IPI00902678;IPI00892619;IPI00892741"	0
"IPI00004838;IPI00399054"	512510
"IPI00004839"	387610
"IPI00004845"	3302100
"IPI00004860;IPI00759723"	3282500
"IPI00004902;IPI00556451"	69033000
"IPI00004924"	0
"IPI00004928;IPI00328822"	0
"IPI00004942"	0
"IPI00004962;IPI00945220;IPI00794742"	465910
"IPI00004968"	4820300
"IPI00004970;IPI00929268;IPI00790264"	57039
"IPI00004977;IPI00872160;IPI00472451;IPI00935955"	71605
"IPI00004988"	2402700
"IPI00005011;IPI00789121;IPI00410623;IPI00017733;IPI00410621"	0
"IPI00005015;IPI00478453;IPI00952669;IPI00186188;IPI00892654;IPI00877616;IPI00892660;IPI00892783"	0
"IPI00607584;IPI00005024;IPI00908888"	383000
"IPI00005030;IPI00383564;IPI00952831;IPI00854684"	0
"IPI00005036;IPI00925891"	0
"IPI00005038;IPI00795860;IPI00796361"	10330000
"IPI00005039;IPI00894045;IPI00894520;IPI00894121;IPI00892888"	236060
"IPI00513827;IPI00895801;IPI00005040"	474540
"IPI00068506;IPI00005045;IPI00925351"	467930
"IPI00005050"	360310
"IPI00005055;IPI00335006"	68417
"IPI00005087"	996960
"IPI00005102;IPI00642393;IPI00909795"	265520
"IPI00005104"	17969
"IPI00005107;IPI00646796;IPI00647735"	66262
"IPI00555601;IPI00005118"	0
"IPI00217250;IPI00005119;IPI00641353;IPI00938315;IPI00940542"	11749
"IPI00005129;IPI00939656;IPI00954469;IPI00909127;IPI00067352;IPI00059809"	4617200
"IPI00005132;IPI00871959"	26402
"IPI00005154;IPI00556260"	121740
"IPI00005158;IPI00334291;IPI00642982"	5533800
"IPI00005159;IPI00470573"	3006200
"IPI00005160;IPI00737530;IPI00927418;IPI00925033;IPI00924615;IPI00927612;IPI00927861;IPI00927206;IPI00925248;IPI00925800;IPI00924861"	2455900
"IPI00005161;IPI00000477;IPI00925920;IPI00926315;IPI00925705"	6412600
"IPI00005162;IPI00871870;IPI00911088;IPI00796102;IPI00794982;IPI00797967"	9537700
"IPI00005163"	0
"IPI00005171;IPI00464948;IPI00645572;IPI00936417;IPI00909061;IPI00908657;IPI00922761;IPI00005172;IPI00472510;IPI00640990;IPI00785180;IPI00816117;IPI00892759;IPI00892765;IPI00892911;IPI00740326;IPI00941590;IPI00942509;IPI00939789;IPI00954513;IPI00942360;IPI00939927;IPI00942310"	0
"IPI00005179;IPI00217386;IPI00911024;IPI00552334;IPI00645499;IPI00552946;IPI00552677"	2484300
"IPI00005181;IPI00946274;IPI00797396;IPI00789500;IPI00947520;IPI00946454;IPI00790091"	0
"IPI00005184;IPI00184317;IPI00925852;IPI00444332;IPI00926068"	194750
"IPI00005194;IPI00790324;IPI00643653;IPI00943228"	0
"IPI00005198;IPI00641665;IPI00643578"	2655500
"IPI00005202"	10402000
"IPI00005203;IPI00619896"	0
"IPI00005210"	0
"IPI00005218"	247230
"IPI00005260;IPI00783948;IPI00829629;IPI00894486;IPI00894476"	0
"IPI00005264;IPI00219688;IPI00847318;IPI00922389;IPI00921983"	0
"IPI00005270"	0
"IPI00005277"	0
"IPI00005347"	8265.1
"IPI00005367;IPI00646448;IPI00945571;IPI00219377;IPI00946788;IPI00220340;IPI00644202;IPI00909148;IPI00946613;IPI00945827"	0
"IPI00005401"	0
"IPI00005474;IPI00643622;IPI00642397"	0
"IPI00005477;IPI00892790"	0
"IPI00005487;IPI00894412"	0
"IPI00005490"	1373600
"IPI00005492;IPI00329028"	3011800
"IPI00005511"	825130
"IPI00005512;IPI00215934;IPI00552212;IPI00880185;IPI00878041;IPI00877707"	0
"IPI00005537"	7626700
"IPI00005564"	0
"IPI00005566;IPI00792650"	0
"IPI00005573;IPI00790117;IPI00386083"	727570
"IPI00005577;IPI00556546"	0
"IPI00005578"	722270
"IPI00005585"	719470
"IPI00005605;IPI00218503;IPI00644290;IPI00218504;IPI00879739;IPI00514909"	0
"IPI00005613;IPI00619914;IPI00871981;IPI00872091;IPI00619942;IPI00457142;IPI00943738;IPI00102851;IPI00946935"	21748000
"IPI00005614;IPI00328230;IPI00954013"	2071900
"IPI00005634"	276130
"IPI00005651;IPI00513961"	0
"IPI00005657;IPI00639894"	18957000
"IPI00005658;IPI00552277;IPI00878700"	5634800
"IPI00398511;IPI00877721;IPI00878424;IPI00384259;IPI00657657;IPI00005663;IPI00218030;IPI00738361;IPI00794514"	0
"IPI00005667"	0
"IPI00005668;IPI00910990;IPI00843904;IPI00887673"	0
"IPI00005670;IPI00514175;IPI00514360;IPI00515030;IPI00647355;IPI00641917"	50463
"IPI00005675"	0
"IPI00005677;IPI00640892;IPI00514057"	0
"IPI00005692"	402130
"IPI00218187;IPI00005705"	1034200
"IPI00005707"	0
"IPI00005711;IPI00940882;IPI00465375;IPI00939619;IPI00941641;IPI00909242;IPI00877650;IPI00880136;IPI00878963;IPI00644549;IPI00878591"	0
"IPI00005715;IPI00555735;IPI00941018;IPI00655534;IPI00217042"	53744
"IPI00792208;IPI00005717"	59381
"IPI00005719;IPI00937805;IPI00922662;IPI00917079;IPI00334174;IPI00185217"	51095000
