Gene stable ID,Gene name,HGNC ID,UniProtKB/Swiss-Prot ID
ENSG00000117118,SDHB,HGNC:10681,
ENSG00000179813,FAM216B,HGNC:26883,Q8N7L0
ENSG00000091986,CCDC80,HGNC:30649,
ENSG00000180353,HCLS1,HGNC:4844,
ENSG00000255071,SAA2-SAA4,HGNC:39550,
ENSG00000204267,TAP2,HGNC:44,Q03519
ENSG00000137204,SLC22A7,HGNC:10971,Q9Y694
ENSG00000128228,SDF2L1,HGNC:10676,Q9HCN8
ENSG00000134291,TMEM106C,HGNC:28775,Q9BVX2
ENSG00000131584,ACAP3,HGNC:16754,
ENSG00000204267,TAP2,HGNC:44,
ENSG00000198015,MRPL42,HGNC:14493,
ENSG00000205730,ITPRIPL2,HGNC:27257,
ENSG00000148965,SAA4,HGNC:10516,P35542
ENSG00000253457,SMIM18,HGNC:42973,P0DKX4
ENSG00000250264,AL669918.1,,
ENSG00000277880,AC244472.5,,
ENSG00000253457,SMIM18,HGNC:42973,
ENSG00000206418,RAB12,HGNC:31332,Q6IQ22
ENSG00000205730,ITPRIPL2,HGNC:27257,Q3MIP1
ENSG00000170262,MRAP,HGNC:1304,Q8TCY5
ENSG00000183631,PRR32,HGNC:34498,B1ATL7
ENSG00000175390,EIF3F,HGNC:3275,O00303
ENSG00000276557,AC244472.3,,
ENSG00000241106,HLA-DOB,HGNC:4937,
ENSG00000211746,TRBV19,HGNC:12194,
ENSG00000279566,ZNF43,HGNC:13109,
ENSG00000080293,SCTR,HGNC:10608,P47872
ENSG00000106038,EVX1,HGNC:3506,
ENSG00000153130,SCOC,HGNC:20335,Q9UIL1
ENSG00000106038,EVX1,HGNC:3506,P49640
ENSG00000170989,S1PR1,HGNC:3165,P21453
ENSG00000102349,KLF8,HGNC:6351,O95600
ENSG00000164647,STEAP1,HGNC:11378,Q9UHE8
ENSG00000256222,MTRNR2L3,HGNC:37157,P0CJ70
ENSG00000175390,EIF3F,HGNC:3275,
ENSG00000153130,SCOC,HGNC:20335,
ENSG00000102349,KLF8,HGNC:6351,
ENSG00000164647,STEAP1,HGNC:11378,
ENSG00000080293,SCTR,HGNC:10608,
ENSG00000111110,PPM1H,HGNC:18583,Q9ULR3
ENSG00000068781,STON1-GTF2A1L,HGNC:30651,
ENSG00000155660,PDIA4,HGNC:30167,P13667
ENSG00000107140,TESK1,HGNC:11731,Q15569
ENSG00000197870,PRB3,HGNC:9339,
ENSG00000241106,HLA-DOB,HGNC:4937,P13765
ENSG00000142089,IFITM3,HGNC:5414,Q01628
ENSG00000170653,ATF7,HGNC:792,P17544
ENSG00000155660,PDIA4,HGNC:30167,
ENSG00000142089,IFITM3,HGNC:5414,
ENSG00000197870,PRB3,HGNC:9339,Q04118
ENSG00000171467,ZNF318,HGNC:13578,Q5VUA4
ENSG00000125818,PSMF1,HGNC:9571,
ENSG00000171467,ZNF318,HGNC:13578,
ENSG00000279956,AC073082.1,,
ENSG00000162992,NEUROD1,HGNC:7762,Q13562
ENSG00000172748,ZNF596,HGNC:27268,
ENSG00000105664,COMP,HGNC:2227,
ENSG00000197265,GTF2E2,HGNC:4651,P29084
ENSG00000179674,ARL14,HGNC:22974,Q8N4G2
ENSG00000230657,PRB4,HGNC:9340,
ENSG00000197265,GTF2E2,HGNC:4651,
ENSG00000105664,COMP,HGNC:2227,P49747
ENSG00000172748,ZNF596,HGNC:27268,Q8TC21
ENSG00000018610,CXorf56,HGNC:26239,Q9H5V9
ENSG00000170653,ATF7,HGNC:792,
ENSG00000187838,PLSCR3,HGNC:16495,Q9NRY6
ENSG00000174697,LEP,HGNC:6553,P41159
ENSG00000277518,MUC6,HGNC:7517,
ENSG00000169877,AHSP,HGNC:18075,Q9NZD4
ENSG00000187838,PLSCR3,HGNC:16495,
ENSG00000117598,PLPPR5,HGNC:31703,Q32ZL2
ENSG00000169877,AHSP,HGNC:18075,
ENSG00000146215,CRIP3,HGNC:17751,
ENSG00000115232,ITGA4,HGNC:6140,P13612
ENSG00000142207,URB1,HGNC:17344,O60287
ENSG00000111247,RAD51AP1,HGNC:16956,
ENSG00000144401,METTL21A,HGNC:30476,
ENSG00000125818,PSMF1,HGNC:9571,Q92530
ENSG00000144401,METTL21A,HGNC:30476,Q8WXB1
ENSG00000139574,NPFF,HGNC:7901,O15130
ENSG00000139151,PLCZ1,HGNC:19218,Q86YW0
ENSG00000226589,VARS,HGNC:12651,P26640
ENSG00000226589,VARS,HGNC:12651,
ENSG00000242441,GTF2A1L,HGNC:30727,
ENSG00000146215,CRIP3,HGNC:17751,Q6Q6R5
ENSG00000215595,C20orf202,HGNC:37254,A1L168
ENSG00000162040,HS3ST6,HGNC:14178,Q96QI5
ENSG00000144278,GALNT13,HGNC:23242,Q8IUC8
ENSG00000144278,GALNT13,HGNC:23242,
ENSG00000125895,TMEM74B,HGNC:15893,Q9NUR3
ENSG00000125895,TMEM74B,HGNC:15893,
ENSG00000112812,PRSS16,HGNC:9480,
ENSG00000117115,PADI2,HGNC:18341,Q9Y2J8
ENSG00000132326,PER2,HGNC:8846,O15055
ENSG00000251655,PRB1,HGNC:9337,
ENSG00000137145,DENND4C,HGNC:26079,
ENSG00000136011,STAB2,HGNC:18629,Q8WWQ8
ENSG00000137145,DENND4C,HGNC:26079,Q5VZ89
ENSG00000165621,OXGR1,HGNC:4531,Q96P68
ENSG00000136011,STAB2,HGNC:18629,
ENSG00000109181,UGT2B10,HGNC:12544,P36537
ENSG00000170006,TMEM154,HGNC:26489,Q6P9G4
ENSG00000175793,SFN,HGNC:10773,P31947
ENSG00000165621,OXGR1,HGNC:4531,
ENSG00000170006,TMEM154,HGNC:26489,
ENSG00000132326,PER2,HGNC:8846,
ENSG00000277429,SERF1B,HGNC:10756,O75920
ENSG00000277429,SERF1B,HGNC:10756,
ENSG00000282735,KIAA0355,HGNC:29016,
ENSG00000152284,TCF7L1,HGNC:11640,Q9HCS4
ENSG00000101446,SPINT3,HGNC:11248,P49223
ENSG00000168546,GFRA2,HGNC:4244,O00451
ENSG00000169327,OR5AU1,HGNC:15362,
ENSG00000168546,GFRA2,HGNC:4244,
ENSG00000121335,PRB2,HGNC:9338,P02812
ENSG00000152284,TCF7L1,HGNC:11640,
ENSG00000169327,OR5AU1,HGNC:15362,Q8NGC0
ENSG00000121335,PRB2,HGNC:9338,
ENSG00000279782,PPIAL4F,HGNC:33999,P0DN26
ENSG00000142751,GPN2,HGNC:25513,Q9H9Y4
ENSG00000142751,GPN2,HGNC:25513,
ENSG00000242441,GTF2A1L,HGNC:30727,Q9UNN4
ENSG00000188021,UBQLN2,HGNC:12509,Q9UHD9
ENSG00000110011,DNAJC4,HGNC:5271,Q9NNZ3
ENSG00000110011,DNAJC4,HGNC:5271,
ENSG00000112812,PRSS16,HGNC:9480,Q9NQE7
ENSG00000110651,CD81,HGNC:1701,
ENSG00000144485,HES6,HGNC:18254,Q96HZ4
ENSG00000159261,CLDN14,HGNC:2035,O95500
ENSG00000115232,ITGA4,HGNC:6140,
ENSG00000114270,COL7A1,HGNC:2214,Q02388
ENSG00000136718,IMP4,HGNC:30856,Q96G21
ENSG00000123165,ACTRT1,HGNC:24027,Q8TDG2
ENSG00000136718,IMP4,HGNC:30856,
ENSG00000144485,HES6,HGNC:18254,
ENSG00000176533,GNG7,HGNC:4410,O60262
ENSG00000130299,GTPBP3,HGNC:14880,Q969Y2
ENSG00000114270,COL7A1,HGNC:2214,
ENSG00000176533,GNG7,HGNC:4410,
ENSG00000198176,TFDP1,HGNC:11749,Q14186
ENSG00000130299,GTPBP3,HGNC:14880,
ENSG00000183889,AC138969.1,,
ENSG00000143420,ENSA,HGNC:3360,
ENSG00000276076,FP236240.1,,
ENSG00000198176,TFDP1,HGNC:11749,
ENSG00000149761,NUDT22,HGNC:28189,
ENSG00000143420,ENSA,HGNC:3360,O43768
ENSG00000127870,RNF6,HGNC:10069,Q9Y252
ENSG00000276231,PIK3R6,HGNC:27101,
ENSG00000133104,SPART,HGNC:18514,Q8N0X7
ENSG00000211747,TRBV20-1,HGNC:12196,
ENSG00000167207,NOD2,HGNC:5331,
ENSG00000184530,C6orf58,HGNC:20960,Q6P5S2
ENSG00000149761,NUDT22,HGNC:28189,Q9BRQ3
ENSG00000073910,FRY,HGNC:20367,
ENSG00000101448,EPPIN,HGNC:15932,O95925
ENSG00000118733,OLFM3,HGNC:17990,Q96PB7
ENSG00000211749,TRBV23-1,HGNC:12201,
ENSG00000276231,PIK3R6,HGNC:27101,Q5UE93
ENSG00000101448,EPPIN,HGNC:15932,
ENSG00000211750,TRBV24-1,HGNC:12203,
ENSG00000073910,FRY,HGNC:20367,Q5TBA9
ENSG00000270672,MTRNR2L6,HGNC:37163,P0CJ73
ENSG00000205221,VIT,HGNC:12697,Q6UXI7
ENSG00000229998,PPP1R18,HGNC:29413,Q6NYC8
ENSG00000167207,NOD2,HGNC:5331,Q9HC29
ENSG00000184939,ZFP90,HGNC:23329,
ENSG00000274233,CCL5,HGNC:10632,P13501
ENSG00000163590,PPM1L,HGNC:16381,Q5SGD2
ENSG00000103187,COTL1,HGNC:18304,Q14019
ENSG00000274233,CCL5,HGNC:10632,
ENSG00000243543,WFDC6,HGNC:16164,Q9BQY6
ENSG00000103187,COTL1,HGNC:18304,
ENSG00000100023,PPIL2,HGNC:9261,Q13356
ENSG00000205221,VIT,HGNC:12697,
ENSG00000138039,LHCGR,HGNC:6585,P22888
ENSG00000039523,RIPOR1,HGNC:25836,Q6ZS17
ENSG00000138039,LHCGR,HGNC:6585,
ENSG00000143013,LMO4,HGNC:6644,P61968
ENSG00000184292,TACSTD2,HGNC:11530,P09758
ENSG00000249139,EPPIN-WFDC6,HGNC:38825,O95925
ENSG00000100023,PPIL2,HGNC:9261,
ENSG00000204568,MRPS18B,HGNC:14516,Q9Y676
ENSG00000169704,GP9,HGNC:4444,P14770
ENSG00000282499,TRBV25-1,HGNC:12205,
ENSG00000134440,NARS,HGNC:7643,O43776
ENSG00000153684,GOLGA8F,HGNC:32378,
ENSG00000153684,GOLGA8F,HGNC:32378,Q08AF8
ENSG00000110651,CD81,HGNC:1701,P60033
ENSG00000134440,NARS,HGNC:7643,
ENSG00000164944,VIRMA,HGNC:24500,Q69YN4
ENSG00000101146,RAE1,HGNC:9828,P78406
ENSG00000144035,NAT8,HGNC:18069,Q9UHE5
ENSG00000162989,KCNJ3,HGNC:6264,P48549
ENSG00000101146,RAE1,HGNC:9828,
ENSG00000149781,FERMT3,HGNC:23151,
ENSG00000111247,RAD51AP1,HGNC:16956,Q96B01
ENSG00000164944,VIRMA,HGNC:24500,
ENSG00000243244,STON1,HGNC:17003,Q9Y6Q2
ENSG00000211752,TRBV27,HGNC:12208,
ENSG00000118260,CREB1,HGNC:2345,P16220
ENSG00000083799,CYLD,HGNC:2584,
ENSG00000243244,STON1,HGNC:17003,
ENSG00000236625,C4B,HGNC:1324,P0C0L5
ENSG00000196683,TOMM7,HGNC:21648,Q9P0U1
ENSG00000075223,SEMA3C,HGNC:10725,Q99985
ENSG00000196683,TOMM7,HGNC:21648,
ENSG00000136710,CCDC115,HGNC:28178,Q96NT0
ENSG00000136710,CCDC115,HGNC:28178,
ENSG00000155085,AK9,HGNC:33814,
ENSG00000120498,TEX11,HGNC:11733,Q8IYF3
ENSG00000188786,MTF1,HGNC:7428,Q14872
ENSG00000075223,SEMA3C,HGNC:10725,
ENSG00000184939,ZFP90,HGNC:23329,Q8TF47
ENSG00000100027,YPEL1,HGNC:12845,O60688
ENSG00000002586,CD99,HGNC:7082,P14209
ENSG00000155085,AK9,HGNC:33814,Q5TCS8
ENSG00000156103,MMP16,HGNC:7162,P51512
ENSG00000100027,YPEL1,HGNC:12845,
ENSG00000196369,SRGAP2B,HGNC:35237,P0DMP2
ENSG00000007968,E2F2,HGNC:3114,Q14209
ENSG00000118260,CREB1,HGNC:2345,
ENSG00000002586,CD99,HGNC:7082,
ENSG00000196369,SRGAP2B,HGNC:35237,
ENSG00000107562,CXCL12,HGNC:10672,P48061
ENSG00000149781,FERMT3,HGNC:23151,Q86UX7
ENSG00000204872,NAT8B,HGNC:30235,
ENSG00000156103,MMP16,HGNC:7162,
ENSG00000109270,LAMTOR3,HGNC:15606,Q9UHA4
ENSG00000204569,PPP1R10,HGNC:9284,Q96QC0
ENSG00000091482,SMPX,HGNC:11122,Q9UHP9
ENSG00000236625,C4B,HGNC:1324,
ENSG00000172780,RAB43,HGNC:19983,Q86YS6
ENSG00000128322,IGLL1,HGNC:5870,P15814
ENSG00000103932,RPAP1,HGNC:24567,
ENSG00000171786,NHLH1,HGNC:7817,Q02575
ENSG00000204272,NBDY,HGNC:50713,A0A0U1RRE5
ENSG00000103932,RPAP1,HGNC:24567,Q9BWH6
ENSG00000128322,IGLL1,HGNC:5870,
ENSG00000233276,GPX1,HGNC:4553,P07203
ENSG00000277177,LILRA6,HGNC:15495,
ENSG00000204272,NBDY,HGNC:50713,
ENSG00000206531,CD200R1L,HGNC:24665,Q6Q8B3
ENSG00000233276,GPX1,HGNC:4553,
ENSG00000172780,RAB43,HGNC:19983,
ENSG00000206531,CD200R1L,HGNC:24665,
ENSG00000164627,KIF6,HGNC:21202,
ENSG00000187944,C2orf66,HGNC:33809,Q6UXQ4
ENSG00000164627,KIF6,HGNC:21202,Q6ZMV9
ENSG00000198736,MSRB1,HGNC:14133,Q9NZV6
ENSG00000221883,ARIH2OS,HGNC:34425,Q8N7S6
ENSG00000198736,MSRB1,HGNC:14133,
ENSG00000100376,FAM118A,HGNC:1313,Q9NWS6
ENSG00000110987,BCL7A,HGNC:1004,Q4VC05
ENSG00000180354,MTURN,HGNC:25457,Q8N3F0
ENSG00000100376,FAM118A,HGNC:1313,
ENSG00000180354,MTURN,HGNC:25457,
ENSG00000185737,NRG3,HGNC:7999,P56975
ENSG00000147443,DOK2,HGNC:2991,O60496
ENSG00000237703,TRIM10,HGNC:10072,Q9UDY6
ENSG00000183513,COA5,HGNC:33848,Q86WW8
ENSG00000228357,HSD17B8,HGNC:3554,Q92506
ENSG00000133027,PEMT,HGNC:8830,Q9UBM1
ENSG00000133106,EPSTI1,HGNC:16465,Q96J88
ENSG00000147443,DOK2,HGNC:2991,
ENSG00000183513,COA5,HGNC:33848,
ENSG00000154813,DPH3,HGNC:27717,Q96FX2
ENSG00000185737,NRG3,HGNC:7999,
ENSG00000166148,AVPR1A,HGNC:895,P37288
ENSG00000166148,AVPR1A,HGNC:895,
ENSG00000235360,C6orf47,HGNC:19076,O95873
ENSG00000175894,TSPEAR,HGNC:1268,Q8WU66
ENSG00000142623,PADI1,HGNC:18367,Q9ULC6
ENSG00000175894,TSPEAR,HGNC:1268,
ENSG00000178149,DALRD3,HGNC:25536,
ENSG00000133027,PEMT,HGNC:8830,
ENSG00000133106,EPSTI1,HGNC:16465,
ENSG00000221837,KRTAP10-9,HGNC:22971,P60411
ENSG00000149743,TRPT1,HGNC:20316,Q86TN4
ENSG00000221837,KRTAP10-9,HGNC:22971,
ENSG00000149743,TRPT1,HGNC:20316,
ENSG00000241123,KRTAP10-5,HGNC:22969,P60370
ENSG00000243489,KRTAP10-11,HGNC:20528,P60412
ENSG00000212933,KRTAP12-4,HGNC:20532,P60329
ENSG00000130349,C6orf203,HGNC:17971,Q9P0P8
ENSG00000215454,KRTAP10-4,HGNC:20521,P60372
ENSG00000143171,RXRG,HGNC:10479,P48443
ENSG00000150048,CLEC1A,HGNC:24355,Q8NC01
ENSG00000169241,SLC50A1,HGNC:30657,
ENSG00000130349,C6orf203,HGNC:17971,
ENSG00000150048,CLEC1A,HGNC:24355,
ENSG00000215454,KRTAP10-4,HGNC:20521,
ENSG00000134294,SLC38A2,HGNC:13448,Q96QD8
ENSG00000153147,SMARCA5,HGNC:11101,O60264
ENSG00000230797,YY2,HGNC:31684,O15391
ENSG00000240682,ISY1,HGNC:29201,Q9ULR0
ENSG00000221864,KRTAP12-2,HGNC:20530,P59991
ENSG00000165487,MICU2,HGNC:31830,Q8IYU8
ENSG00000215455,KRTAP10-1,HGNC:22966,P60331
ENSG00000143171,RXRG,HGNC:10479,
ENSG00000272804,KRTAP10-7,HGNC:22970,P60409
ENSG00000188155,KRTAP10-6,HGNC:20523,P60371
ENSG00000117318,ID3,HGNC:5362,Q02535
ENSG00000240682,ISY1,HGNC:29201,
ENSG00000187175,KRTAP12-1,HGNC:20529,P59990
ENSG00000165487,MICU2,HGNC:31830,
ENSG00000189169,KRTAP10-12,HGNC:20533,P60413
ENSG00000159263,SIM2,HGNC:10883,Q14190
ENSG00000131650,KREMEN2,HGNC:18797,Q8NCW0
ENSG00000159263,SIM2,HGNC:10883,
ENSG00000135686,KLHL36,HGNC:17844,Q8N4N3
ENSG00000178149,DALRD3,HGNC:25536,Q5D0E6
ENSG00000189169,KRTAP10-12,HGNC:20533,
ENSG00000135686,KLHL36,HGNC:17844,
ENSG00000221963,APOL6,HGNC:14870,Q9BWW8
ENSG00000185658,BRWD1,HGNC:12760,Q9NSI6
ENSG00000028528,SNX1,HGNC:11172,
ENSG00000205445,KRTAP10-2,HGNC:22967,P60368
ENSG00000134121,CHL1,HGNC:1939,O00533
ENSG00000205439,KRTAP12-3,HGNC:20531,P60328
ENSG00000278656,KIR3DL2,HGNC:6339,
ENSG00000185658,BRWD1,HGNC:12760,
ENSG00000212935,KRTAP10-3,HGNC:22968,P60369
ENSG00000104518,GSDMD,HGNC:25697,P57764
ENSG00000187766,KRTAP10-8,HGNC:20525,P60410
ENSG00000012174,MBTPS2,HGNC:15455,O43462
ENSG00000134121,CHL1,HGNC:1939,
ENSG00000261796,ISY1-RAB43,HGNC:42969,
ENSG00000012174,MBTPS2,HGNC:15455,
ENSG00000092096,SLC22A17,HGNC:23095,
ENSG00000221859,KRTAP10-10,HGNC:22972,P60014
ENSG00000102409,BEX4,HGNC:25475,Q9NWD9
ENSG00000104518,GSDMD,HGNC:25697,
ENSG00000166930,MS4A5,HGNC:13374,Q9H3V2
ENSG00000139793,MBNL2,HGNC:16746,Q5VZF2
ENSG00000166930,MS4A5,HGNC:13374,
ENSG00000162073,PAQR4,HGNC:26386,Q8N4S7
ENSG00000150681,RGS18,HGNC:14261,Q9NS28
ENSG00000089177,KIF16B,HGNC:15869,Q96L93
ENSG00000273936,TNFRSF14,HGNC:11912,
ENSG00000089177,KIF16B,HGNC:15869,
ENSG00000159496,RGL4,HGNC:31911,
ENSG00000134294,SLC38A2,HGNC:13448,
ENSG00000092096,SLC22A17,HGNC:23095,Q8WUG5
ENSG00000139793,MBNL2,HGNC:16746,
ENSG00000089693,MLF2,HGNC:7126,Q15773
ENSG00000162073,PAQR4,HGNC:26386,
ENSG00000204271,SPIN3,HGNC:27272,Q5JUX0
ENSG00000182272,B4GALNT4,HGNC:26315,Q76KP1
ENSG00000168300,PCMTD1,HGNC:30483,Q96MG8
ENSG00000204420,MPIG6B,HGNC:13937,
ENSG00000182272,B4GALNT4,HGNC:26315,
ENSG00000123146,ADGRE5,HGNC:1711,P48960
ENSG00000077327,SPAG6,HGNC:11215,O75602
ENSG00000089693,MLF2,HGNC:7126,
ENSG00000204420,MPIG6B,HGNC:13937,O95866
ENSG00000077327,SPAG6,HGNC:11215,
ENSG00000123146,ADGRE5,HGNC:1711,
ENSG00000168300,PCMTD1,HGNC:30483,
ENSG00000235107,RING1,HGNC:10018,Q06587
ENSG00000273936,TNFRSF14,HGNC:11912,Q92956
ENSG00000230254,HLA-E,HGNC:4962,P13747
ENSG00000178425,NT5DC1,HGNC:21556,Q5TFE4
ENSG00000178425,NT5DC1,HGNC:21556,
ENSG00000028528,SNX1,HGNC:11172,Q13596
ENSG00000159496,RGL4,HGNC:31911,Q8IZJ4
ENSG00000117600,PLPPR4,HGNC:23496,Q7Z2D5
ENSG00000140986,RPL3L,HGNC:10351,Q92901
ENSG00000140986,RPL3L,HGNC:10351,
ENSG00000123500,COL10A1,HGNC:2185,Q03692
ENSG00000117600,PLPPR4,HGNC:23496,
ENSG00000169241,SLC50A1,HGNC:30657,Q9BRV3
ENSG00000123500,COL10A1,HGNC:2185,
ENSG00000159335,PTMS,HGNC:9629,
ENSG00000159335,PTMS,HGNC:9629,P20962
ENSG00000204271,SPIN3,HGNC:27272,
ENSG00000206401,LY6G6E,HGNC:13934,
ENSG00000131910,NR0B2,HGNC:7961,Q15466
ENSG00000187189,TSPYL4,HGNC:21559,Q9UJ04
ENSG00000151164,RAD9B,HGNC:21700,Q6WBX8
ENSG00000147533,GOLGA7,HGNC:24876,Q7Z5G4
ENSG00000243804,LY6G6F,HGNC:13933,Q5SQ64
ENSG00000145604,SKP2,HGNC:10901,Q13309
ENSG00000168081,PNOC,HGNC:9163,
ENSG00000162738,VANGL2,HGNC:15511,Q9ULK5
ENSG00000187783,TMEM72,HGNC:31658,A0PK05
ENSG00000151164,RAD9B,HGNC:21700,
ENSG00000168081,PNOC,HGNC:9163,Q13519
ENSG00000206402,LY6G6D,HGNC:13935,
ENSG00000189241,TSPYL1,HGNC:12382,Q9H0U9
ENSG00000204421,LY6G6C,HGNC:13936,
ENSG00000159685,CHCHD6,HGNC:28184,Q9BRQ6
ENSG00000133401,PDZD2,HGNC:18486,O15018
ENSG00000206402,LY6G6D,HGNC:13935,O95868
ENSG00000090273,NUDC,HGNC:8045,
ENSG00000165507,C10orf10,HGNC:23355,Q9NTK1
ENSG00000159685,CHCHD6,HGNC:28184,
ENSG00000133401,PDZD2,HGNC:18486,
ENSG00000165507,C10orf10,HGNC:23355,
ENSG00000163606,CD200R1,HGNC:24235,Q8TD46
ENSG00000145604,SKP2,HGNC:10901,
ENSG00000204421,LY6G6C,HGNC:13936,O95867
ENSG00000111817,DSE,HGNC:21144,
ENSG00000141506,PIK3R5,HGNC:30035,
ENSG00000181404,WASHC1,HGNC:24361,A8K0Z3
ENSG00000188452,CERKL,HGNC:21699,Q49MI3
ENSG00000197880,MDS2,HGNC:29633,Q8NDY4
ENSG00000197880,MDS2,HGNC:29633,
ENSG00000127993,RBM48,HGNC:21785,Q5RL73
